,player_id,first_name,second_name,position,curr_price,ownership_percent,fixture_difficulty,next_gw_fixture_cnt,predicted_points
87,589.0,Manor,Solomon,3,5.4,0.0,3,1.0,1.8803258762502995
91,626.0,Callum,Marshall,4,4.3,0.5,3,1.0,1.8803258762502995
567,576.0,Ashley,Phillips,2,4.0,0.0,3,1.0,1.8803258762502995
568,578.0,Luka,Vušković,2,3.9,0.3,3,1.0,1.8803258762502995
569,581.0,James,Maddison,3,6.8,0.1,3,1.0,1.8803258762502995
570,599.0,Dane,Scarlett,4,4.3,0.5,3,1.0,1.8803258762502995
149,745.0,Jun'ai,Byfield,2,4.0,0.0,3,1.0,1.8803258762502995
672,750.0,James,Rowswell,2,4.0,0.0,3,1.0,1.8803258762502995
48,802.0,Keiber,Lamadrid,3,5.0,0.0,3,1.0,1.8803258762502995
107,790.0,Lucá,Williams-Barnett,3,4.5,0.0,3,1.0,1.8803258762502995
665,583.0,Dejan,Kulusevski,3,6.4,0.0,3,1.0,1.8803258762502995
378,592.0,Mikey,Moore,3,5.0,0.0,3,1.0,1.8803258762502995
480,616.0,Edson,Álvarez Velázquez,3,4.9,0.0,3,1.0,1.8803258762502995
380,598.0,Will,Lankshear,4,4.5,0.0,3,1.0,1.8803258762502995
572,608.0,Ollie,Scarles,2,4.3,0.0,3,1.0,1.8803258762502995
656,621.0,Andy,Irving,3,4.3,0.2,3,1.0,1.8803258762502995
138,588.0,Wilson,Odobert,3,5.3,0.0,3,1.0,1.8803258762502995
392,811.0,Rio,Kyerematen,3,4.5,0.0,3,1.0,1.8803258762502995
446,758.0,Mohamadou,Kanté,3,4.5,0.0,3,1.0,1.8803258762502995
35,605.0,Maximilian,Kilman,2,4.1,0.1,3,1.0,1.8803258762502995
664,577.0,Takai,Kōta,2,4.0,0.0,3,1.0,1.8803258762502995
445,751.0,Yusuf,Akhamrich,3,4.5,0.0,3,1.0,1.8803258762502995
139,594.0,Yang,Min-hyeok,3,4.5,0.0,3,1.0,1.8803258762502995
571,600.0,Alphonse,Areola,1,4.2,2.0,3,1.0,1.8803258762502995
179,622.0,Lewis,Orford,3,4.4,0.1,3,1.0,1.8803258762502995
755,602.0,Krisztián,Hegyi,1,3.9,0.2,3,1.0,1.8803258762502995
756,612.0,Lucas,Tolentino Coelho de Lima,3,5.9,1.1,3,1.0,1.8803258762502995
278,818.0,James,Wilson,4,4.5,0.0,3,1.0,1.8803258762502995
175,571.0,Ben,Davies,2,4.3,0.1,3,1.0,1.8803258762502995
266,607.0,Nayef,Aguerd,2,4.4,0.0,3,1.0,1.8803258762502995
177,618.0,Guido,Rodríguez,3,4.8,0.0,3,1.0,1.8803258762502995
769,747.0,Ezra,Mayers,2,4.0,0.0,3,1.0,1.8803258762502995
178,619.0,Luis Guilherme,Lira dos Santos,3,4.9,0.0,3,1.0,1.8803258762502995
34,590.0,Bryan,Gil Salvatierra,3,4.9,0.0,3,1.0,1.8803258762502995
753,585.0,Rodrigo,Bentancur,3,5.2,0.2,3,1.0,1.8803258762502995
808,566.0,Brandon,Austin,1,3.9,0.3,3,1.0,1.8803258762502995
225,579.0,Son,Heung-min,3,8.5,0.1,3,1.0,1.8803258762502995
226,604.0,Emerson,Palmieri dos Santos,2,4.4,0.0,3,1.0,1.8803258762502995
757,632.0,Matt,Doherty,2,4.4,0.1,3,1.0,1.8783831379456322
269,659.0,Kyle,Walker-Peters,2,4.2,0.3,3,1.0,1.8765755555564931
690,210.0,Loum,Tchaouna,3,4.8,0.0,4,1.0,1.8762495770259358
157,76.0,Owen,Bevan,2,3.8,0.2,3,1.0,1.8760217891315705
7,70.0,Alex,Paulsen,1,4.0,0.1,3,1.0,1.8760217891315705
680,96.0,Ben,Winterburn,3,4.5,0.0,3,1.0,1.8760217891315705
347,78.0,Julián,Araujo Zúñiga,2,3.8,0.5,3,1.0,1.8760217891315705
341,799.0,Charlie,Stevens,3,4.5,0.0,3,1.0,1.8760217891315705
8,99.0,Daniel,Adu-Adjei,4,4.4,0.1,3,1.0,1.8760217891315705
456,91.0,Luis,Sinisterra Lucumí,3,5.0,0.0,3,1.0,1.8760217891315705
49,806.0,Christos,Mandas,1,4.0,0.0,3,1.0,1.8760217891315705
457,94.0,Dominic,Sadi,3,4.5,0.0,3,1.0,1.8760217891315705
499,71.0,Illia,Zabarnyi,2,5.0,0.0,3,1.0,1.8760217891315705
240,95.0,Zain,Silcott-Duberry,3,4.4,0.1,3,1.0,1.8760217891315705
455,68.0,Will,Dennis,1,4.0,0.7,3,1.0,1.8760217891315705
531,714.0,Nick,Woltemade,4,6.7,6.6,3,1.0,1.8732415994062364
250,219.0,Michael,Obafemi,4,4.4,0.1,3,1.0,1.8630759810624982
58,188.0,Hannes,Delcroix,2,3.8,0.2,3,1.0,1.8630759810624982
581,784.0,George,Brierley,3,4.5,0.0,3,1.0,1.8630759810624982
510,194.0,Jordan,Beyer,2,3.9,0.1,3,1.0,1.8630759810624982
779,198.0,Axel,Tuanzebe,2,3.9,0.9,3,1.0,1.8630759810624982
462,189.0,Owen,Dodgson,2,4.0,0.0,3,1.0,1.8630759810624982
247,185.0,Václav,Hladký,1,3.9,0.2,3,1.0,1.8630759810624982
61,205.0,Josh,Cullen,3,4.9,0.8,3,1.0,1.8630759810624982
248,186.0,Connor,Roberts,2,4.3,0.0,3,1.0,1.8630759810624982
105,776.0,Oliver,Pimlott,3,4.5,0.0,3,1.0,1.8630759810624982
623,211.0,Aaron,Ramsey,3,4.4,1.4,3,1.0,1.8630759810624982
15,208.0,Luca,Koleosho,3,5.0,0.0,3,1.0,1.8630759810624982
161,212.0,Oluwaseun,Adewumi,3,4.5,0.0,3,1.0,1.8630759810624982
365,371.0,Milos,Kerkez,2,5.6,3.1,3,1.0,1.8627032528152994
361,337.0,Raúl,Jiménez Rodríguez,4,6.1,2.3,3,1.0,1.860214963801377
168,385.0,Federico,Chiesa,3,6.3,0.3,3,1.0,1.8572159143667355
708,499.0,Alexander,Isak,4,10.3,4.3,3,1.0,1.8572159143667355
452,825.0,Finlay,Herrick,1,4.0,0.0,3,1.0,1.8533630702707922
299,232.0,Tosin,Adarabioyo,2,4.0,0.3,3,1.0,1.853163274327614
360,331.0,Tom,Cairney,3,4.8,0.0,3,1.0,1.8529118272480065
170,405.0,Nathan,Aké,2,5.2,0.6,4,1.0,1.8459964116846814
36,638.0,Ki-Jana,Hoever,2,3.8,0.9,3,1.0,1.8426111739579811
54,123.0,Fábio,Freitas Gouveia Carvalho,3,4.6,0.1,3,1.0,1.8391549129978535
258,459.0,Manuel,Ugarte Ribeiro,3,4.7,0.1,3,1.0,1.837716990015694
311,376.0,Joe,Gomez,2,4.9,0.1,3,1.0,1.8376364631609114
489,820.0,Kian,McMahon-Brown,3,4.5,0.0,3,1.0,1.8361131750829909
294,164.0,Matt,O'Riley,3,5.5,0.3,3,1.0,1.8348508258791245
367,379.0,Rhys,Williams,2,3.7,0.6,3,1.0,1.8072172859469287
364,368.0,Ármin,Pécsi,1,3.8,0.9,3,1.0,1.8072172859469287
522,377.0,Konstantinos,Tsimikas,2,4.8,0.0,3,1.0,1.8072172859469287
310,375.0,Conor,Bradley,2,4.9,0.1,3,1.0,1.8072172859469287
368,398.0,Jayden,Danns,4,4.3,0.1,3,1.0,1.8072172859469287
417,378.0,Amara,Nallo,2,3.7,0.9,3,1.0,1.8072172859469287
271,692.0,Giovanni,Leoni,2,4.9,0.0,3,1.0,1.8072172859469287
486,760.0,Wellity,Lucky,2,4.0,0.0,3,1.0,1.8072172859469287
167,369.0,Freddie,Woodman,1,3.9,0.7,3,1.0,1.8072172859469287
639,395.0,Tyler,Morton,3,4.5,0.0,3,1.0,1.8072172859469287
211,380.0,Calvin,Ramsay,2,3.7,0.3,3,1.0,1.8072172859469287
559,397.0,Darwin,Núñez Ribeiro,4,6.5,0.1,3,1.0,1.8072172859469287
