,player_id,first_name,second_name,position,curr_price,ownership_percent,chance_of_playing_next_round,fixture_difficulty,predicted_points
237,229.0,Benoît,Badiashile Mukinayi,2,4.4,0.0,100.0,3,1.683195647244366
212,227.0,Levi,Samuels Colwill,2,4.7,0.1,75.0,3,1.683195647244366
77,145.0,Maxim,De Cuyper,2,4.3,1.5,100.0,3,1.682512296685537
398,723.0,Jaydee,Canvot,2,4.5,0.4,100.0,4,1.682185615411917
714,24.0,Christian,Nørgaard,3,5.1,0.1,100.0,3,1.6809985443443123
667,522.0,Ryan,Yates,3,4.7,0.1,100.0,3,1.6749745537519949
31,414.0,Phil,Foden,3,8.0,7.7,100.0,3,1.6686254042647866
781,108.0,Kristoffer,Ajer,2,4.4,0.2,100.0,2,1.6669991533353357
532,466.0,Joshua,Zirkzee,4,5.8,0.4,100.0,3,1.654865964978738
32,422.0,Mateo,Kovačić,3,5.8,0.0,100.0,3,1.6507160008477297
238,246.0,Andrey,Nascimento dos Santos,3,4.5,0.3,100.0,3,1.638211875469242
131,73.0,Adam,Smith,2,4.4,0.2,100.0,3,1.6160474917114167
484,44.0,Lamare,Bogarde,2,4.0,0.5,100.0,3,1.6116785534369484
685,124.0,Jordan,Henderson,3,5.0,0.3,75.0,2,1.5817499517560076
296,376.0,Joe,Gomez,2,4.9,0.1,100.0,4,1.5577459852042426
744,714.0,Nick,Woltemade,4,6.7,6.5,100.0,3,1.5462033394073367
535,510.0,Jair,Paula da Cunha Filho,2,4.2,0.1,75.0,3,1.5208569676784063
585,699.0,Douglas Luiz,Soares de Paulo,3,4.9,0.1,100.0,3,1.5152812621748986
214,660.0,Anton,Stach,3,4.8,1.7,100.0,1,1.4972939480067753
735,573.0,Djed,Spence,2,4.1,0.9,100.0,4,1.4840366852109907
583,671.0,Callum,Wilson,4,5.8,0.5,100.0,3,1.4683189667634637
327,331.0,Tom,Cairney,3,4.8,0.0,100.0,5,1.4448704837097803
305,519.0,Nicolás,Domínguez,3,5.0,0.0,100.0,3,1.3953772496503118
658,295.0,Michael,Keane,2,4.5,2.7,100.0,4,1.3865684293639087
797,494.0,Joe,Willock,3,5.0,0.1,100.0,3,1.3792725032892164
638,610.0,Aaron,Wan-Bissaka,2,4.1,4.4,100.0,3,1.3554943634199632
359,49.0,Leon,Bailey,3,5.5,0.1,100.0,3,1.3512725719536303
463,531.0,Daniel,Ballard,2,4.7,3.2,100.0,2,1.3200446575088502
36,146.0,Lewis,Dunk,2,4.5,0.9,100.0,3,1.2914363615259998
761,322.0,Kenny,Tete,2,4.5,0.2,75.0,5,1.2146702232094144
610,609.0,Jean-Clair,Todibo,2,4.3,0.1,100.0,3,1.2040717949396529
